Entity,Code,Year,Annual working hours per worker,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates)
Mexico,MEX,1950,2274.8445,5064.555,27600140
Mexico,MEX,1951,2274.4216,5332.2856,28328022
Mexico,MEX,1952,2273.999,5401.7485,29061668
Mexico,MEX,1953,2273.5764,5171.113,29822098
Mexico,MEX,1954,2273.1538,5574.5737,30616898
Mexico,MEX,1955,2272.7312,5857.6445,31452140
Mexico,MEX,1956,2272.3088,6072.379,32325944
Mexico,MEX,1957,2271.8865,6330.5977,33239524
Mexico,MEX,1958,2271.4644,6442.1177,34180100
Mexico,MEX,1959,2271.0422,6404.3335,35179436
Mexico,MEX,1960,2270.62,6676.6885,36268048
Mexico,MEX,1961,2261.5889,6648.7,37439316
Mexico,MEX,1962,2252.5935,6688.8955,38683280
Mexico,MEX,1963,2243.634,7078.6167,39982116
Mexico,MEX,1964,2234.7102,7782.8726,41333880
Mexico,MEX,1965,2225.8218,7951.686,42737996
Mexico,MEX,1966,2216.9688,8184.536,44180444
Mexico,MEX,1967,2208.1511,8366.5205,45656964
Mexico,MEX,1968,2199.3684,8798.254,47170340
Mexico,MEX,1969,2190.6206,8885.193,48714396
Mexico,MEX,1970,2181.9075,9180.868,50289304
Mexico,MEX,1971,2180.146,9303.479,51897680
Mexico,MEX,1972,2178.3857,9787.7,53543432
Mexico,MEX,1973,2176.627,10298.846,55228200
Mexico,MEX,1974,2175.115,10642.34,56945880
Mexico,MEX,1975,2173.6042,10928.391,58691880
Mexico,MEX,1976,2172.0945,11242.499,60452544
Mexico,MEX,1977,2170.5857,11393.507,62262508
Mexico,MEX,1978,2169.0781,12144.773,64124000
Mexico,MEX,1979,2167.5715,13109.692,65972908
Mexico,MEX,1980,2166.066,14127.015,67705184
Mexico,MEX,1981,2167.0032,14891.229,69233768
Mexico,MEX,1982,2167.9407,14380.749,70656784
Mexico,MEX,1983,2168.8787,13198.649,72080312
Mexico,MEX,1984,2169.817,13302.488,73489648
Mexico,MEX,1985,2170.7556,13072.401,74872008
Mexico,MEX,1986,2171.6948,12007.635,76224360
Mexico,MEX,1987,2172.6345,11930.41,77553504
Mexico,MEX,1988,2173.5745,11692.257,78892016
Mexico,MEX,1989,2174.5146,11889.863,80233752
Mexico,MEX,1990,2175.5708,12382.703,81720424
Mexico,MEX,1991,2168.1401,12630.54,83351600
Mexico,MEX,1992,2160.7349,12845.684,84993160
Mexico,MEX,1993,2153.3547,12747.229,86648440
Mexico,MEX,1994,2146,13056.868,88314416
Mexico,MEX,1995,2161,12184.501,89969568
Mexico,MEX,1996,2192,12283.149,91586560
Mexico,MEX,1997,2241,13003.718,93183088
Mexico,MEX,1998,2168,13815.467,94767288
Mexico,MEX,1999,2242,14059.859,96334808
Mexico,MEX,2000,2174,14849.223,97873448
Mexico,MEX,2001,2146,14646.398,99394288
Mexico,MEX,2002,2196,14265.164,100917080
Mexico,MEX,2003,2143,14228.5205,102429344
Mexico,MEX,2004,2123,14894.119,103945816
Mexico,MEX,2005,2105,15638.168,105442400
Mexico,MEX,2006,2067,15983.76,106886792
Mexico,MEX,2007,2045,16249.967,108302976
Mexico,MEX,2008,2105,16461.701,109684496
Mexico,MEX,2009,1973,15710.421,111049424
Mexico,MEX,2010,2150,16873.336,112532400
Mexico,MEX,2011,2121,18200.082,114150480
Mexico,MEX,2012,2120,18862.564,115755912
Mexico,MEX,2013,2136,18710.57,117290680
Mexico,MEX,2014,2134,18637.203,118755888
Mexico,MEX,2015,2140,18518.387,120149896
Mexico,MEX,2016,2146,18913.807,121519224
Mexico,MEX,2017,2148,18939.904,122839256
Mexico,MEX,2018,2149,19200.268,124013864
Mexico,MEX,2019,2137,18736.527,125085312
Argentina,ARG,1972,1999.3278,4126.961,24612798
Argentina,ARG,1973,1996,4290.553,25020592
Argentina,ARG,1974,1992.8422,4421.9927,25449752
Argentina,ARG,1975,1989.6893,4296.975,25875562
Argentina,ARG,1976,1986.5415,4237.7773,26290258
Argentina,ARG,1977,1983.3987,4457.05,26713780
Argentina,ARG,1978,1980.2609,4328.4346,27146124
Argentina,ARG,1979,1977.1279,4536.975,27584138
Argentina,ARG,1980,1974,4492.1455,28024808
Argentina,ARG,1981,1961.2301,4459.6807,28471284
Argentina,ARG,1982,1948.5427,4606.9507,28922768
Argentina,ARG,1983,1935.9375,4914.8843,29377144
Argentina,ARG,1984,1923.4137,5155.431,29832200
Argentina,ARG,1985,1910.9711,4955.8945,30287120
Argentina,ARG,1986,1898.6089,5429.1235,30748332
Argentina,ARG,1987,1886.3267,5689.87,31216450
Argentina,ARG,1988,1874.1238,5963.5186,31690790
Argentina,ARG,1989,1862,5657.7783,32165770
Argentina,ARG,1990,1850,6260.611,32637658
Argentina,ARG,1991,1837.9608,7267.511,33105766
Argentina,ARG,1992,1826,8444.155,33568280
Argentina,ARG,1993,1850.3378,9568.051,34027240
Argentina,ARG,1994,1875,11006.12,34488696
Argentina,ARG,1995,1881.9612,12187.799,34946116
Argentina,ARG,1996,1888.9481,15569.968,35389360
Argentina,ARG,1997,1895.961,15884.046,35815968
Argentina,ARG,1998,1903,15672.702,36233196
Argentina,ARG,1999,1887.285,14590.631,36653032
Argentina,ARG,2000,1862.1362,14332.45,37070772
Argentina,ARG,2001,1811.1526,13321.491,37480492
Argentina,ARG,2002,1710.0365,11287.75,37885024
Argentina,ARG,2003,1713.5746,12115.066,38278164
Argentina,ARG,2004,1743.3999,13113.357,38668796
Argentina,ARG,2005,1771.6785,14113.8545,39070504
Argentina,ARG,2006,1775.9203,15259.149,39476856
Argentina,ARG,2007,1787.5447,16769.285,39876116
Argentina,ARG,2008,1789.765,17920.453,40273768
Argentina,ARG,2009,1751.6228,16903.314,40684344
Argentina,ARG,2010,1760.2247,19190.504,41100124
Argentina,ARG,2011,1760.2303,21360.64,41520736
Argentina,ARG,2012,1736.1034,21611.586,41952364
Argentina,ARG,2013,1725.8735,21429.314,42388268
Argentina,ARG,2014,1705.4283,20635.297,42824064
Argentina,ARG,2015,1703.4685,21197.787,43257064
Argentina,ARG,2016,1646.5126,20887.232,43668236
Argentina,ARG,2017,1648.8129,23272.184,44054616
Argentina,ARG,2018,1638.4401,23018.549,44413592
Argentina,ARG,2019,1609.069,21826.838,44745516
Denmark,DNK,1950,2049.514,10533.165,4267702
Denmark,DNK,1951,2035.0591,10272.443,4299583
Denmark,DNK,1952,2020.7062,10416.398,4330760
Denmark,DNK,1953,2006.4546,10985.877,4362493
Denmark,DNK,1954,1992.3035,11257.637,4394327
Denmark,DNK,1955,1978.2522,11132.258,4426513
Denmark,DNK,1956,1964.2999,11295.049,4459563
Denmark,DNK,1957,1950.4462,11808.914,4491048
Denmark,DNK,1958,1936.6901,11960.839,4521333
Denmark,DNK,1959,1923.031,12868.686,4551440
Denmark,DNK,1960,1909.4683,13568.79,4581730
Denmark,DNK,1961,1921.4111,14338.302,4613437
Denmark,DNK,1962,1933.4288,14907.131,4645997
Denmark,DNK,1963,1945.5216,15032.26,4680814
Denmark,DNK,1964,1957.6901,16132.699,4718021
Denmark,DNK,1965,1969.9347,16703.31,4756336
Denmark,DNK,1966,1982.2559,17004.727,4796410
Denmark,DNK,1967,1953.6619,17770.53,4834734
Denmark,DNK,1968,1909.1918,18674.508,4867744
Denmark,DNK,1969,1869.7018,19775.559,4896156
Denmark,DNK,1970,1845.3499,19875.738,4922968
Denmark,DNK,1971,1809.7368,20302.104,4951490
Denmark,DNK,1972,1751.8479,21029.934,4981082
Denmark,DNK,1973,1709.5088,21717.08,5008581
Denmark,DNK,1974,1691.4918,21284.607,5033574
Denmark,DNK,1975,1616.5078,20856.074,5058203
Denmark,DNK,1976,1623.5383,21944.219,5078773
Denmark,DNK,1977,1598.4269,22428.947,5094605
Denmark,DNK,1978,1575.1555,23003.828,5108931
Denmark,DNK,1979,1563.8428,23879.375,5119417
Denmark,DNK,1980,1577.4359,23979.723,5125397
Denmark,DNK,1981,1546.3959,23128.795,5126983
Denmark,DNK,1982,1552.8433,23511.057,5126402
Denmark,DNK,1983,1545.9578,23736.13,5124341
Denmark,DNK,1984,1540.8369,24247.697,5121317
Denmark,DNK,1985,1527.4664,24626.002,5119453
Denmark,DNK,1986,1530.9512,26436.166,5119368
Denmark,DNK,1987,1493.0265,27056.191,5121515
Denmark,DNK,1988,1471.1697,27024.982,5126107
Denmark,DNK,1989,1454.9504,27144.453,5133937
Denmark,DNK,1990,1440.4998,27817.977,5144626
Denmark,DNK,1991,1437.3113,27846.027,5158325
Denmark,DNK,1992,1452.3666,28845.56,5175466
Denmark,DNK,1993,1448.9192,28523.4,5193776
Denmark,DNK,1994,1406.6619,29687.18,5213801
Denmark,DNK,1995,1419.1434,30550.236,5235205
Denmark,DNK,1996,1412.2639,31560.564,5256002
Denmark,DNK,1997,1428.0895,33088.336,5277385
Denmark,DNK,1998,1441.135,33963.254,5298991
Denmark,DNK,1999,1456.4973,35450.438,5319856
Denmark,DNK,2000,1465.9373,37403.957,5340662
Denmark,DNK,2001,1468.6771,37265.41,5360753
Denmark,DNK,2002,1462.5846,37064.266,5378700
Denmark,DNK,2003,1457.829,37679.652,5396355
Denmark,DNK,2004,1458.0756,39556.914,5415583
Denmark,DNK,2005,1451.3639,43031.414,5436314
Denmark,DNK,2006,1455.7018,44582.707,5457863
Denmark,DNK,2007,1432.7698,45687.332,5479722
Denmark,DNK,2008,1430.0546,48294.336,5502752
Denmark,DNK,2009,1417.0284,46005.824,5526455
Denmark,DNK,2010,1422.3064,48860.055,5550850
Denmark,DNK,2011,1436.9801,49686.81,5576016
Denmark,DNK,2012,1423.3478,49100.336,5600955
Denmark,DNK,2013,1425.6351,47969.64,5625393
Denmark,DNK,2014,1413.8082,47861.254,5650654
Denmark,DNK,2015,1407.1481,47492.906,5677795
Denmark,DNK,2016,1412.0458,48930.09,5706856
Denmark,DNK,2017,1405.404,51671.598,5737286
Denmark,DNK,2018,1381.9294,51931.836,5766689
Denmark,DNK,2019,1380.6077,54027.15,5795879
Hong Kong,HKG,1960,2723.5908,6004.6245,3114676
Hong Kong,HKG,1961,2703.403,6103.355,3231766
Hong Kong,HKG,1962,2683.365,6458.0366,3331193
Hong Kong,HKG,1963,2663.4753,7040.475,3424355
Hong Kong,HKG,1964,2643.733,7490.2095,3514767
Hong Kong,HKG,1965,2624.1372,8302.59,3602032
Hong Kong,HKG,1966,2604.6865,8605.646,3684669
Hong Kong,HKG,1967,2585.38,8663.268,3762176
Hong Kong,HKG,1968,2566.2166,8942.517,3834048
Hong Kong,HKG,1969,2547.1953,9774.294,3898385
Hong Kong,HKG,1970,2528.315,10478.251,3955076
Hong Kong,HKG,1971,2527.0505,11067.369,4028605
Hong Kong,HKG,1972,2525.4067,11999.145,4128332
Hong Kong,HKG,1973,2523.8271,13196.7705,4234756
Hong Kong,HKG,1974,2522.549,13129.649,4342778
Hong Kong,HKG,1975,2521.6772,13086.177,4451227
Hong Kong,HKG,1976,2518.0522,14549.874,4558871
Hong Kong,HKG,1977,2507.4993,15817.94,4664905
Hong Kong,HKG,1978,2497.362,16880.426,4768799
Hong Kong,HKG,1979,2488.411,18155.105,4872751
Hong Kong,HKG,1980,2477.289,19482.244,4978551
Hong Kong,HKG,1981,2466.1562,20445.72,5077744
Hong Kong,HKG,1982,2441.66,20518.682,5166910
Hong Kong,HKG,1983,2410.825,21255.424,5252129
Hong Kong,HKG,1984,2381.8462,22743.074,5333577
Hong Kong,HKG,1985,2356.0828,21794.006,5411686
Hong Kong,HKG,1986,2360.2485,24438.684,5492797
Hong Kong,HKG,1987,2324.3064,28007.12,5578536
Hong Kong,HKG,1988,2372.4387,28645.143,5665618
Hong Kong,HKG,1989,2314.0312,30233.621,5752711
Hong Kong,HKG,1990,2278.5217,32684.734,5838573
Hong Kong,HKG,1991,2309.9045,34285.547,5923453
Hong Kong,HKG,1992,2224.1714,36898.36,6007690
Hong Kong,HKG,1993,2287.9592,39106.062,6089809
Hong Kong,HKG,1994,2291.9285,40133.45,6168709
Hong Kong,HKG,1995,2254.8499,40662.207,6243859
Hong Kong,HKG,1996,2304.2678,42334.58,6333446
Hong Kong,HKG,1997,2257.8132,43059.8,6441245
Hong Kong,HKG,1998,2259.1526,39778.902,6546051
Hong Kong,HKG,1999,2301.9258,40050.832,6641959
Hong Kong,HKG,2000,2330.667,44197.266,6731195
Hong Kong,HKG,2001,2326.358,46896.504,6801538
Hong Kong,HKG,2002,2343.431,49144.324,6848847
Hong Kong,HKG,2003,2330.8987,50446.914,6886463
Hong Kong,HKG,2004,2354.375,57668.973,6915997
Hong Kong,HKG,2005,2346.386,60869.176,6936872
Hong Kong,HKG,2006,2315.4949,55957.227,6960600
Hong Kong,HKG,2007,2327.78,58844.316,7001452
Hong Kong,HKG,2008,2277.0227,57288.324,7050673
Hong Kong,HKG,2009,2251.9988,51092.26,7094600
Hong Kong,HKG,2010,2302.08,55370.082,7132437
Hong Kong,HKG,2011,2256.8945,59504.652,7175370
Hong Kong,HKG,2012,2233.4592,61950.71,7234062
Hong Kong,HKG,2013,2225.5356,68567.914,7296820
Hong Kong,HKG,2014,2175.4304,59591.82,7352180
Hong Kong,HKG,2015,2185.5137,51588.312,7399845
Hong Kong,HKG,2016,2176.568,50629.367,7435925
Hong Kong,HKG,2017,2147.5745,49927.07,7461508
Hong Kong,HKG,2018,2147.5745,55578.684,7481563
Hong Kong,HKG,2019,2147.5745,54810.02,7496121
